SMU Volt (V),SMU Curr (A),DMM Volt (V)
0.03678758,-1.1518e-12,9.201157084000002e-06
1.38964187,0.0100000055,1.2456592470000002e-05
1.4156384,0.0199999941,1.983920364e-05
1.43132869,0.0300005142,3.533045754e-05
1.44270982,0.0399999992,5.00972877e-05
1.45168067,0.0500004134,6.67253715e-05
1.4591431,0.0600002507,8.598264446e-05
1.46553501,0.0700005941,0.00010837104820000002
1.47116162,0.0800007956,0.0001297007016
1.47622959,0.0900010645,0.0001554424166
1.48077764,0.100000549,0.0001851758488
1.48436441,0.109961485,0.0001879166812
1.48892998,0.120006137,0.00021612730580000003
1.49256375,0.130012754,0.00024433953819999997
1.49595723,0.14001368,0.0002721020834
1.49916921,0.150007468,0.00030143697679999997
1.50220983,0.160011137,0.0003341899968
1.50509607,0.170011871,0.00036456163340000005
1.50788334,0.180018322,0.0003982451798
1.51056577,0.190012821,0.0004261244928
1.51312487,0.200012419,0.0004653652712
1.51562031,0.210013579,0.0005022032618
1.51798191,0.220011576,0.0005373298277999999
1.52031697,0.230011027,0.0005747530652
1.5225599,0.24001382,0.0006099949922
1.52471179,0.250016876,0.0006505407184000001
1.52682287,0.260014796,0.0006900792452
1.52885347,0.270011504,0.0007331953743999999
1.53087866,0.280015728,0.0007726471796
1.53283282,0.290016029,0.0008118520834
1.53476033,0.300011947,0.0008448377352
1.53664252,0.310017334,0.0008988792086000001
1.53848108,0.320018462,0.0009422294761999999
1.54026066,0.330022002,0.000986722101
1.54201,0.340017961,0.0010370351392
1.54375445,0.350017886,0.0010796050100000002
1.54541306,0.36001786,0.0011274925519999999
1.54707669,0.370017387,0.00117538652
1.54866448,0.380022559,0.001224259854
1.55027058,0.390022975,0.0012716906740000001
1.55182885,0.400021101,0.001322509266
1.55339453,0.410020553,0.001357288244
1.5549006,0.420021763,0.0014232348240000002
1.5563943,0.4300233,0.0014752076380000001
1.55786714,0.440028837,0.001528345012
1.55934281,0.450025256,0.0015784757640000002
1.56077026,0.460021908,0.0016339580419999999
1.5622134,0.4700256,0.001687009002
1.563636,0.480024285,0.0017427270300000002
1.56502312,0.490026476,0.0018010056100000002
1.56639577,0.500024024,0.001854826112
1.56777403,0.510024402,0.0019142021340000002
1.56910774,0.520028876,0.001951967234
1.57040777,0.530029456,0.00203185684
1.57173097,0.540024503,0.002102675424
1.57302041,0.550027,0.0021539642060000004
1.57428277,0.560029435,0.002210113532
1.57551938,0.570028163,0.0022715928859999997
1.57678502,0.5800227,0.002336601204
1.57802837,0.590025768,0.002403035058
1.57925231,0.600026421,0.002465837748
1.58048515,0.610026353,0.002532494588
1.581693,0.62002506,0.002595920206
1.58288287,0.630030656,0.0026313897399999997
1.58404464,0.640030524,0.002723843764
1.58520972,0.650030736,0.0027927965720000005
1.58639107,0.660038295,0.00286466355
1.58750543,0.670030418,0.0029295847480000003
1.58861716,0.680029268,0.0030038325100000002
1.58974706,0.690035302,0.003080559432
1.59088104,0.700037463,0.0031478732680000005
1.59197636,0.710030766,0.0032196741279999995
1.59306083,0.720039033,0.003288876348
1.59414467,0.730036731,0.003367744282
1.59525007,0.740034894,0.003398565806
1.59629731,0.750035168,0.00351104092
1.59737561,0.760033781,0.00358914685
1.59840737,0.770034904,0.00369022874
1.59944504,0.780033648,0.003755490894
1.60050424,0.790037071,0.003842208616
1.60154338,0.800035194,0.00391796793
1.60256226,0.810040524,0.003994354194
1.60358214,0.82003363,0.00406987455
1.60457242,0.830037065,0.004147909632
1.60558765,0.840035803,0.004227868978
1.60654789,0.85003192,0.004267402782
1.60752753,0.860039441,0.004397724604
1.60848565,0.870037077,0.0044882991839999995
1.60945778,0.880042212,0.004578747956000001
