SMU Volt (V),SMU Curr (A),DMM Volt (V)
-0.0480921,-1.1506e-11,1.02266454e-05
1.3822841,0.0100000194,9.65486405e-06
1.4081906,0.020003759,1.61499581e-05
1.4238465,0.02999983,2.50321637e-05
1.4351928,0.040000327,3.56553379e-05
1.4441564,0.050000944,5.04010654e-05
1.4516352,0.060000345,6.94316356e-05
1.4580187,0.069999412,8.47200026e-05
1.4636012,0.079999914,0.000102450248
1.4686271,0.090000519,0.000124768812
1.4731496,0.100001649,0.000146121678
1.4671554,0.10890681,0.000153799525
1.4811188,0.12002119,0.000184915884
1.4847427,0.13000422,0.000200466025
1.4881326,0.14002502,0.000226736813
1.4913291,0.15003205,0.000252658906
1.4943126,0.16001455,0.000281689117
1.4971564,0.17000254,0.000304493545
1.4998874,0.17998966,0.000337323238
1.5024977,0.19002394,0.000368554154
1.5050076,0.20000686,0.000400343286
1.5074423,0.21002025,0.000431383776
1.5097657,0.22000099,0.000467042731
1.512087,0.23003369,0.00050181437
1.5142772,0.24000691,0.000532762411
1.5163173,0.25001533,0.000572466543
1.5183754,0.25999762,0.000611420024
1.5204125,0.27002974,0.000646074091
1.5223486,0.27999987,0.000685581768
1.5242724,0.29000829,0.000726710832
1.5261482,0.30001338,0.000762186395
1.5279623,0.31001454,0.000803080818
1.5297863,0.32000589,0.000847988763
1.5314758,0.32999474,0.000889417786
1.5332008,0.3400272,0.000934504601
1.534852,0.35001818,0.000985225824
1.536552,0.360004,0.00102790794
1.5381301,0.37001094,0.00107724242
1.5397397,0.38001565,0.00112039231
1.5412854,0.39001959,0.00117047392
1.542822,0.40004186,0.00121842668
1.5443181,0.41003337,0.00126957398
1.545845,0.42000761,0.00132073031
1.547277,0.43000931,0.00137406274
1.548726,0.44002089,0.00143062236
1.5501349,0.45003979,0.00147880725
1.5515422,0.46003612,0.00153916233
1.5529273,0.47002979,0.00159043825
1.5542524,0.48001739,0.0016485856
1.5556033,0.49002312,0.00170371325
1.5569632,0.50000859,0.00176605249
1.5582603,0.51001251,0.00181835189
1.5595741,0.52003624,0.00188782231
1.5608298,0.53000757,0.00194769355
1.5621422,0.54001056,0.00201071711
1.5633674,0.55003034,0.00207009494
1.5646143,0.56001888,0.00213412691
1.5658697,0.57000837,0.00220469769
1.5670757,0.58002649,0.00227686573
1.5682583,0.59002311,0.00234425202
1.5694523,0.60004285,0.00240893918
1.5706257,0.6100297,0.00247845784
1.5718185,0.62002796,0.00255152023
1.5729564,0.6300194,0.00261958582
1.5741144,0.64005823,0.00269362095
1.5752631,0.6500321,0.00276744254
1.5763847,0.66003845,0.00284868774
1.5774887,0.67003227,0.00292929986
1.5785813,0.68001986,0.00300042282
1.5796581,0.69004041,0.00307472726
1.5807256,0.70004594,0.00315431138
1.5818472,0.71001879,0.00323647204
1.5828546,0.72002623,0.00331910499
1.5840123,0.73002816,0.00340124705
