SMU Volt (V),SMU Curr (A),DMM Volt (V)
0.309715135,1.659e-13,1.0241417216e-05
1.47161717,0.0981390298,5.2303016996e-05
1.48407103,0.136231164,0.00011408253050199999
1.51369122,0.239359314,0.00022112441334
1.53319178,0.346308271,0.00035977675835
1.54792973,0.448879407,0.0005260606110200001
1.56023198,0.550200087,0.0007265223149
1.57116653,0.65035636,0.0009556541770400001
1.5810959,0.751338058,0.00122175034596
1.5900871,0.851940245,0.0015305558659799998
1.59824355,0.950737391,0.0018866347377800002
1.60597458,1.04985272,0.0023015997493400003
1.61323083,1.14888312,0.00280755676812
1.62021253,1.24990607,0.0034640807912800003
1.62670468,1.35035882,0.0062792714916
1.63190911,1.45037934,0.024224789372000004
1.62962173,1.28178006,0.0246934194156
1.63530589,1.37538626,0.045536676149400004
1.64077389,1.46998151,0.07034075889779999
1.64579938,1.56468496,0.097143314767
1.65054343,1.65900498,0.1261944218544
