SMU Volt (V),SMU Curr (A),DMM Volt (V)
0.218222775,1.8055e-12,8.523159112e-06
1.35497563,0.00999999979,1.2797852444e-05
1.3823977,0.0200002737,1.7686431940000003e-05
1.39904651,0.0300009741,2.8747837799999997e-05
1.41125745,0.0400000338,4.483770356e-05
1.42091793,0.0500008157,6.087109462e-05
1.42888468,0.0600005562,7.811477284e-05
1.43569267,0.0700008336,9.887063539999998e-05
1.4416041,0.08000041,0.0001214748888
1.44685089,0.0900002149,0.0001444446206
1.45165602,0.100000871,0.0001717059274
1.45567556,0.10995423,0.0001790663304
1.46029025,0.120008394,0.00020475659559999999
1.46417936,0.130012319,0.00023364180139999997
1.46774278,0.140013898,0.0002621290716
1.47101401,0.150014878,0.00029309037659999997
1.47406376,0.160012213,0.0003235085392
1.47704167,0.170009703,0.00035553683420000003
1.47993467,0.180017557,0.000388623477
1.48272166,0.190013781,0.0004266429146
1.48539966,0.200015526,0.0004630670924
1.48793347,0.21001324,0.0005008671628
1.49030432,0.220012514,0.0005377086708
1.49256064,0.230013395,0.0005792702382
1.49478541,0.240010902,0.0006219672286
1.49697823,0.250013093,0.0006606984284
1.49916865,0.260015268,0.0007044533648000001
1.50125469,0.270016715,0.0007513735988
1.5033176,0.280014769,0.0007955131060000001
1.50523704,0.290015878,0.0008410179546000001
1.50707907,0.300018032,0.0008923876318
1.50884632,0.31000938,0.0009372920600000001
1.51069391,0.320019021,0.0009857394226
1.512476,0.330013159,0.0010382469339999998
1.51425444,0.340016857,0.00109155635
1.51597926,0.35001871,0.001143914632
1.51759921,0.360017963,0.001195168544
1.51917481,0.370013826,0.00124963609
1.52069826,0.380013122,0.001305328294
1.52223572,0.390020598,0.001363860512
1.52382232,0.400019153,0.001422290332
1.52539134,0.410014068,0.0014810878400000002
1.52695652,0.42001351,0.001541847592
1.52840806,0.430019759,0.001602233528
1.52976135,0.440024047,0.0016634376419999999
1.53111915,0.450021776,0.0017241307719999999
1.53246007,0.46001974,0.001788288956
1.53386287,0.4700217,0.001851040696
1.53529937,0.48002138,0.001921564346
1.53670493,0.490024456,0.001986692446
1.5380656,0.500023356,0.0020542826260000003
1.53929128,0.510019884,0.0021239667880000005
1.54050535,0.520021212,0.0021970954079999997
1.54172473,0.530020847,0.002262461166
1.54299904,0.540016888,0.00233927089
1.5442837,0.550024287,0.0024141132459999997
1.54555817,0.560022212,0.00247617704
1.54677342,0.570025125,0.00256747464
1.547931,0.580026016,0.002641394808
1.5490383,0.590027136,0.002713949234
1.55013707,0.600018134,0.002794784338
1.55129441,0.610023541,0.002878086046
1.55247725,0.62002599,0.00292840983
1.55367733,0.630027903,0.003050124488
1.55482352,0.640030583,0.003145709342
1.55588104,0.650029909,0.00321133245
1.55691114,0.660029059,0.003291167188
1.55791751,0.670029639,0.0033810987439999995
1.55899893,0.680029549,0.003468294888
1.5600797,0.690024713,0.003556388604
1.56117949,0.700034187,0.003657750054
1.5622565,0.710028743,0.003752433022
1.56330533,0.720038126,0.0038563994440000008
1.56426224,0.730029812,0.003941224956
1.56519078,0.740031422,0.004026142924
1.56615894,0.75002871,0.004119181790000001
1.56717277,0.760024632,0.00421836374
1.56822462,0.770026709,0.004316980741999999
1.56924956,0.78002991,0.004426386424000001
1.57022615,0.790030493,0.004525895062
1.57110177,0.800034073,0.00462894362
1.5720237,0.810030252,0.004732338159999999
1.57292168,0.820029609,0.0048394095880000005
1.57386378,0.83003163,0.0049758615299999994
1.57486375,0.840031175,0.00505682637
1.57579901,0.850034938,0.005179100646
1.57677403,0.860033365,0.00525971015
1.57765014,0.870031004,0.005373769972
1.57849912,0.880040419,0.005484454773999999
1.57934721,0.890038311,0.00559433255
1.58021277,0.900035727,0.005718312024
1.58114938,0.910041452,0.005835243616
1.58210345,0.920037387,0.00598834655
1.5829598,0.930034993,0.006102954236
1.58381641,0.940037211,0.006186014063999999
1.58461243,0.950035818,0.00629917069
1.58543034,0.960042279,0.006424080287999999
1.5862923,0.970036739,0.006545379218
1.58717051,0.980037543,0.006694880638
1.58806075,0.990039366,0.006823449933999999
1.58891926,1.00004274,0.006958697918
1.5897547,1.01004402,0.007090743428
1.5904842,1.02003827,0.007230145818
1.59125048,1.03004585,0.007366797034
1.59204541,1.04003662,0.007485354734000001
1.59288713,1.05004193,0.0076174853520000006
1.59370825,1.06004123,0.007737905610000001
1.59458213,1.07004023,0.007902339062
1.59539757,1.0800404,0.00803693096
1.59612888,1.09004084,0.008192082058
1.59686625,1.10004187,0.008333427604
1.59761683,1.11003672,0.008476959988
1.59840276,1.12004392,0.008644468293999999
1.5991789,1.130042,0.008800080334
1.59999392,1.14004689,0.008975503548
1.60078346,1.15004176,0.009148390317999999
1.60150418,1.16004798,0.009311418932
1.60219078,1.17005,0.009473870866
1.6029099,1.18004338,0.009639123083999999
1.60368137,1.19005278,0.009818137059999999
1.60447104,1.20004188,0.009977666668
1.60525418,1.21004809,0.010177701882
1.60603981,1.22004591,0.010445762198
1.60673778,1.23004411,0.0105619107
1.60743043,1.24004668,0.010743925980000001
1.60807452,1.25004168,0.010926908740000001
1.60877008,1.26004915,0.011109343439999999
1.60951278,1.27004155,0.01130587998
1.61028004,1.28005012,0.0115093687
1.61104965,1.29005008,0.01170330214
1.61173222,1.3000431,0.01192450334
1.61237794,1.31004122,0.012127558460000002
1.6130202,1.3200467,0.012350060959999997
1.61372502,1.33004948,0.012553141100000002
1.61442144,1.34004622,0.012780086540000003
1.61519242,1.35004279,0.013039616260000001
1.61593732,1.36004953,0.013330051640000002
1.61662855,1.37005469,0.01352407732
1.61724219,1.38005228,0.01378218642
1.61788691,1.39005276,0.01419409922
1.61850304,1.40005077,0.01423458162
1.61919461,1.41005055,0.01450579448
1.61990574,1.4200531,0.014814539899999998
1.62060783,1.43005561,0.01509882072
1.62128095,1.4400484,0.015418995759999998
1.62194405,1.45005288,0.01571814974
1.62254321,1.46005889,0.01601754066
1.62315404,1.47005651,0.01629262856
1.62380988,1.48005806,0.01663329988
1.6244977,1.49005286,0.016988915599999998
1.62524629,1.50005387,0.017384004220000002
1.62592819,1.51005264,0.017764950440000003
1.626452,1.52016328,0.01750539932
1.62704291,1.53015865,0.017905192559999998
1.62760535,1.540177,0.01829587004
1.62821841,1.55016642,0.018739696
1.62887415,1.56016642,0.0193957661
1.62955074,1.57017315,0.0201398404
1.63021586,1.58017577,0.022025893619999997
1.63083279,1.59016562,0.02553985212
1.63137967,1.60013236,0.031924634560000005
1.63179605,1.6101017,0.04074125546
1.6322338,1.62010304,0.05036324048
1.6327143,1.63011202,0.06076279832
1.63323327,1.64011105,0.07184423838
1.63376348,1.65011714,0.0835647209
1.6342828,1.66012343,0.0952749642
1.63471993,1.6701069,0.1065091382
1.63515547,1.68011645,0.1177230148
1.6355347,1.69011224,0.1290208534
1.63598202,1.70012323,0.1411007094
1.63644462,1.71011119,0.15412427199999998
1.63694307,1.72013672,0.16780646359999998
1.63741326,1.73014669,0.1814032028
1.63785253,1.74014468,0.1945749362
1.6382208,1.7501492,0.208112994
1.63863284,1.76014012,0.21975617760000002
1.63906967,1.77014763,0.23324981220000002
1.63953097,1.78014613,0.2477445822
1.64003045,1.79014553,0.26313456739999996
1.64049508,1.8001465,0.27911116059999996
1.64093571,1.81012748,0.2925579492
1.64132431,1.82012666,0.3056784202
1.64169743,1.83013555,0.3185388342
1.64215023,1.84011883,0.3318030374
1.64257205,1.85011318,0.34810058060000004
1.64305115,1.86012369,0.3622967452
1.6435204,1.87011842,0.3777448256
1.64398363,1.88012256,0.3925635964
