SMU Volt (V),SMU Curr (A),DMM Volt (V)
0.027926655,5.47435e-12,9.612357282e-06
1.4417099,0.0500004781,6.649354382e-05
1.50768245,0.100000645,0.00018878108560000002
1.55240913,0.149997547,0.000306879551
1.59804485,0.200012906,0.00048411065440000006
1.63996306,0.250014453,0.0006888941808
1.67617586,0.300018677,0.0009232038304
1.70819395,0.350024117,0.0011853548082
1.7381306,0.400025054,0.0014673658933999998
1.76061443,0.450030291,0.0017870509319999998
1.78039473,0.50003601,0.0021593544239999997
1.79496878,0.550034941,0.002511284716
1.80913418,0.600037864,0.0029158471239999996
1.82483125,0.650040626,0.0033326619340000004
1.84212557,0.700047086,0.0038125143739999997
1.85862266,0.750040885,0.004316953712000001
1.86559578,0.800043222,0.004893746698000001
1.8786707,0.850048181,0.005471479054
1.89354617,0.9000503,0.00606309726
1.89722316,0.950053322,0.006716683192
1.91204257,1.00005559,0.007485081098
1.92769109,1.05005436,0.008312102069999999
1.94394231,1.10006051,0.009663588396000001
1.95447591,1.15004998,0.01943056026
1.95758716,1.20004529,0.03611099282
1.96626537,1.25004392,0.05487203112
1.97704572,1.30004685,0.071644628
1.98855582,1.35004842,0.08831077445999999
1.99933854,1.40005081,0.10604465546
2.01500374,1.45005706,0.12386372796
2.0328329,1.5000398,0.13741173156
2.03295711,1.55016265,0.1341331592
2.04272206,1.60014176,0.1577913646
2.05415829,1.65013085,0.1821075752
2.06438893,1.70024798,0.20228155059999997
2.07395472,1.75015606,0.22743629160000003
2.0846799,1.80015568,0.25087402639999995
2.08918739,1.85001907,0.2668892926
2.08761115,1.90022999,0.28282635120000005
2.08944278,1.95019521,0.30978152160000005
2.09730335,2.0001514,0.342624039
