SMU Volt (V),SMU Curr (A),DMM Volt (V)
-0.1060742,-1.3105e-11,9.30013857e-06
1.3894539,0.0099999958,1.27313289e-05
1.4154052,0.020001782,1.39437263e-05
1.4310797,0.030002775,2.76679851e-05
1.4424174,0.040000134,3.48936327e-05
1.4513816,0.050001584,4.82380438e-05
1.4588186,0.05999981,6.568893e-05
1.4651956,0.070000593,8.09566968e-05
1.4707946,0.080001873,9.27721707e-05
1.4758738,0.090000418,0.0001101497
1.4803803,0.100000809,0.000133727389
1.4677589,0.10822848,0.000145636317
1.4884044,0.12001797,0.000161741658
1.4920157,0.13000131,0.000187888343
1.4953823,0.13999455,0.000204373532
1.4985896,0.15000831,0.000230005714
1.5015727,0.16001791,0.000253942651
1.5045031,0.1699988,0.000281023881
1.5072162,0.1800077,0.000299024944
1.5099184,0.19001601,0.000325412802
1.5124099,0.20000913,0.000353531077
1.5148123,0.20999802,0.000383501362
1.5172031,0.22001073,0.000410541895
1.5194857,0.23001997,0.000437283976
1.5216956,0.24003071,0.000466656854
1.5238244,0.25000706,0.000496877355
1.5259276,0.26002264,0.000528403206
1.5279585,0.2700233,0.000557505769
1.529925,0.28001973,0.000591301662
1.5318469,0.29002792,0.00062449412
1.533718,0.30003206,0.000651613034
1.5355936,0.31000918,0.000687965363
1.5374143,0.32000845,0.000725178378
1.5391894,0.33003387,0.000761846241
1.5408803,0.3400378,0.000794949766
1.5425523,0.35002692,0.000831823631
1.544228,0.36002498,0.000869096437
1.5458276,0.37000871,0.000901611097
1.5474259,0.38002682,0.000940218394
1.549011,0.3900191,0.000979501981
1.5505129,0.40000419,0.00102015021
1.5520885,0.41004227,0.00106138076
1.5535655,0.42003013,0.00109706735
1.5550806,0.43002263,0.00113796579
1.556537,0.44002696,0.00117786739
1.5579223,0.45001831,0.00122027618
1.5593769,0.46000803,0.00127124711
1.560768,0.47001951,0.00130496312
1.5621608,0.48002337,0.00135031271
1.5635296,0.4900208,0.00139598688
1.5648575,0.50001728,0.00143854389
1.5662178,0.5100178,0.00148377893
1.5675367,0.52002911,0.00152389356
1.5688152,0.53004401,0.001574351
1.5701154,0.54001349,0.00162127274
1.5713375,0.55002435,0.00166682683
1.5725538,0.56003106,0.00171687478
1.5738098,0.5700484,0.00176203897
1.5750635,0.5800455,0.00181353596
1.5762913,0.59001333,0.00186369897
1.5774647,0.60004507,0.00191236068
1.5786745,0.61003593,0.00196445106
1.5797828,0.62000404,0.00201630127
1.5809083,0.63002388,0.00206668636
1.5820877,0.64001761,0.00212526882
1.5832208,0.65002831,0.00217500325
1.5843361,0.66004936,0.00222804978
1.5854607,0.67005046,0.00228938362
1.5866003,0.680017,0.00234335817
1.5876822,0.69004057,0.00239580881
