SMU Volt (V),SMU Curr (A),DMM Volt (V)
0.270656195,1.59455e-12,1.082887476e-05
1.47272639,0.100006886,0.00011251872360000001
1.50257013,0.199387427,0.0002744330214
1.52392057,0.300018935,0.0005298705438
1.53972617,0.400101969,0.0008521870843999999
1.55301723,0.500142155,0.001239069594
1.56468642,0.600184754,0.0016952908839999998
1.5751611,0.700212078,0.0022205059839999998
1.58468534,0.800224999,0.002886346424
1.59349272,0.900266356,0.0035480988800000004
1.60169021,1.0002888,0.00437891672
1.60939469,1.10029555,0.005403275496
1.61668863,1.20032317,0.0065208274920000005
1.62358756,1.30032242,0.008072662968000001
1.62996854,1.40037819,0.01639555764
1.63490944,1.5003689,0.06999307034
1.63885602,1.60058323,0.1142333314
1.64324256,1.70086653,0.17955082179999998
1.64751903,1.80106986,0.25065424199999997
1.65176688,1.90103971,0.32479244639999993
1.65602826,2.00101899,0.40040377920000003
