SMU Volt (V),SMU Curr (A)
0.1126014,-8.896e-12
1.4436744,0.050003861
1.4726399,0.100003332
1.4662962,0.14659992
1.503818,0.19896751
1.5152824,0.24969139
1.5249893,0.29997559
1.5336223,0.35006182
1.5414293,0.4001195
1.5485915,0.45010808
1.5552574,0.50010791
1.5615981,0.55011741
1.5675584,0.60011736
1.5732076,0.65015711
1.5785737,0.70016525
1.5837307,0.75013144
1.5886857,0.80014479
1.5934355,0.85014684
1.598004,0.90016308
1.6024903,0.95016939
1.6068071,1.00015061
1.6110074,1.0501695
1.6151183,1.10021177
1.6191,1.15021198
1.6229546,1.20020245
1.6267403,1.25017098
1.6304229,1.30020808
1.6340464,1.35023576
1.6374112,1.40020383
1.6402672,1.45021864
1.6428986,1.50022617
1.647065,1.5502832
1.6499395,1.6002023
1.6525094,1.6502601
1.6550386,1.7002478
1.657476,1.7502323
1.6603769,1.8001711
1.6628874,1.8501926
1.6654061,1.9001147
1.6679026,1.9501513
1.6703263,2.0001416
