SMU Volt (V),SMU Curr (A),DMM Volt (V)
-0.01196334,-5.5841e-12,7.878020974e-06
1.44688659,0.0100000065,1.0128467792e-05
1.51990666,0.0200003035,2.117218764e-05
1.57900347,0.030000349,3.7215125139999995e-05
1.62209922,0.0400004312,6.0377795059999995e-05
1.64708396,0.0500004749,8.039617026000001e-05
1.66232004,0.0600003702,0.00010571874642
1.67691008,0.0700007425,0.0001326405018
1.69714379,0.0800005613,0.0001600761566
1.82534891,0.0900047851,0.000195281606
1.76691544,0.0999974067,0.0002272439806
1.75129281,0.107349298,0.00021352143
1.77982983,0.117301159,0.0002478212742
1.78325126,0.127823159,0.0002797891754
1.65222633,0.139649733,0.0003289886962
1.63738916,0.149957898,0.000369600142
1.64515492,0.159967743,0.00040903245199999997
1.65298424,0.169965199,0.0004500666542
1.66148345,0.17996878,0.0004927485716
1.67279909,0.189967373,0.0005343371706
1.68390715,0.199969282,0.0005786572562
1.6953372,0.209970427,0.0006263243228
1.70237267,0.219981977,0.0006757217058
1.70674973,0.229989026,0.000723847705
1.71484655,0.239994042,0.0007718871825999999
1.72273566,0.249993064,0.0008334899364
1.72879701,0.259991936,0.000867500373
1.7354149,0.269992583,0.0009282095800000001
1.73144654,0.280001392,0.0009892803469999998
1.73221313,0.290009185,0.001045384654
1.7343921,0.300011726,0.001106212336
1.73668068,0.310013485,0.001165661312
1.74067042,0.320010933,0.0012284998779999998
1.74325088,0.330019211,0.00129071501
1.74458047,0.340017043,0.00135421841
1.74774496,0.350017446,0.00141925346
1.75201069,0.360020903,0.0014847784940000002
1.75597904,0.370022809,0.0015509189180000003
1.76092625,0.38002153,0.00162264622
1.76537087,0.39002302,0.0016933526560000002
1.77060456,0.400021898,0.0017656111440000001
1.77547936,0.410023358,0.0018395026740000001
1.77536011,0.420026411,0.0019124042859999999
1.77319032,0.430027038,0.001989889498
1.77685734,0.440030054,0.0020804276020000003
1.781001,0.450027389,0.002149827884
1.77981081,0.460028416,0.002231303306
1.78423865,0.470025466,0.0023064693359999998
1.78799315,0.480030171,0.0024305694940000002
1.7904044,0.490027018,0.0024843120119999998
1.79257385,0.500031124,0.002572743166
1.79368329,0.510031207,0.002660034478
1.79345212,0.520031143,0.002752487798
1.79291343,0.530033039,0.00284178436
1.79491219,0.540036215,0.0029345082960000003
1.79704969,0.550032978,0.0030354430720000002
1.80108091,0.560033834,0.0031347988680000003
1.80416744,0.570034424,0.00322765977
1.80792373,0.58003362,0.003328608312
1.80980815,0.590034311,0.0034297302000000003
1.80909794,0.600035067,0.0035385933440000004
1.81054175,0.610037283,0.0036435152139999995
1.81386603,0.620040014,0.0037086266319999997
1.81724133,0.630037009,0.0038690337
1.82120033,0.640036553,0.003971572178000001
1.82484632,0.650038547,0.004080029344
1.82620897,0.660041223,0.004193887986
1.82567877,0.670039993,0.00431363708
1.82654847,0.680042189,0.0044327118940000005
1.82865269,0.690040365,0.0045594956059999995
1.83105084,0.700039514,0.004683517584
1.83371966,0.710041876,0.00481478973
1.83780959,0.72003894,0.004951034464
1.83756879,0.730037939,0.005086992002
1.83845328,0.740040544,0.00520804142
1.84253223,0.750042702,0.005319937416
1.842946,0.760035151,0.005465534842
1.84496945,0.770040525,0.005607692036000001
1.8486911,0.780039249,0.005743981390000001
1.85122096,0.790041413,0.005914695892
1.85422045,0.800040846,0.0059648837219999995
1.85734226,0.810041204,0.006168086154
1.85652074,0.820045475,0.006320126122
1.85428271,0.83004352,0.006474422262
1.85035849,0.840044424,0.006632111607999999
1.85191862,0.850043391,0.006721215036
1.85243914,0.860050711,0.006973739184
1.85380524,0.870042644,0.007162048675999999
1.85375487,0.880046595,0.007348181983999999
1.85554516,0.890048229,0.007499609167999998
1.85991184,0.900049353,0.007684340958000001
1.86318122,0.910048298,0.00778636423
1.86591028,0.920048102,0.008073713078
1.86668089,0.930050472,0.008272736988
1.87045381,0.940049308,0.008501733292
1.8705027,0.95005025,0.00878807474
1.87627612,0.96005152,0.009646751394
1.87808999,0.970047442,0.01107524732
1.87823103,0.980041752,0.013341862200000002
1.87763764,0.990040271,0.01584553688
1.87771881,1.00004339,0.01885539208
1.87759892,1.01003996,0.022326919780000003
1.87601447,1.02004449,0.025826827559999998
1.87672589,1.03004653,0.029571225200000002
1.87803316,1.04003826,0.03373562946
1.87881062,1.05003519,0.038384250800000005
1.88025337,1.06003754,0.04298269014
1.88080739,1.07003339,0.04767299
1.88285102,1.08003744,0.05219487016
1.88182004,1.0900385,0.0560380067
1.88207356,1.10004134,0.06090363904
1.88386822,1.11004477,0.06505754864
1.8858875,1.1200438,0.06898909462
1.88452024,1.13004159,0.0728539503
1.88686494,1.14004619,0.07652283682
1.88701277,1.15004624,0.08024172668
1.88862891,1.16004908,0.08375674064000001
1.89068775,1.17004419,0.0872144464
1.89026196,1.18004565,0.09117652158
1.89084571,1.19004317,0.09530515406
1.89291929,1.20003827,0.10002059446
1.89520903,1.21003907,0.10480498540000001
1.89623145,1.22003765,0.10969357399999999
1.89724857,1.23003753,0.1144327742
1.8955403,1.24003581,0.1190851498
1.89469929,1.25003917,0.12367340960000002
1.89412026,1.26003479,0.1298008478
1.89436362,1.27003363,0.130744806
1.89491897,1.28003738,0.13609274759999998
1.89623774,1.29003704,0.1398302098
1.89917268,1.30003466,0.1433527134
1.90001131,1.31003797,0.1470163318
1.90111182,1.32003754,0.15017519299999998
1.90468063,1.33004457,0.15308777020000003
1.90681444,1.34004351,0.1586353656
1.90787734,1.35004685,0.1595918054
1.90816816,1.36005729,0.1632670154
1.91009266,1.37006966,0.167763053
1.91049803,1.3800512,0.17218595220000002
1.91083531,1.39003656,0.1758949486
1.91249559,1.40003571,0.1783216024
1.91174195,1.41004165,0.18072815379999999
1.91325097,1.42005288,0.18327677439999998
1.91603682,1.43005845,0.18917126780000001
1.91670964,1.44006574,0.1907610114
1.91898198,1.45007817,0.1933341736
1.91718882,1.46007129,0.20023826900000002
1.91712193,1.47008422,0.2053867048
1.91851024,1.48009235,0.2109492534
1.91921459,1.49008339,0.2161796496
1.92097176,1.50008098,0.2214723144
1.9220715,1.51007035,0.22701933219999998
1.92336772,1.5201523,0.21366599600000002
1.92561505,1.53014763,0.21529592439999998
1.92814376,1.54013798,0.219583
1.92998063,1.55013915,0.22472905559999998
1.93185392,1.560149,0.22898104260000002
1.93503059,1.57015176,0.2341713456
1.93765943,1.58017255,0.2390026378
1.93966336,1.59019796,0.2445359274
1.9411451,1.60017791,0.2500146386
1.9423993,1.61019387,0.2556788148
1.94416662,1.62017967,0.2616822704
1.94596377,1.63017227,0.2643297954
1.94818869,1.64017871,0.272407988
1.94957509,1.6501672,0.2775083892
1.95187611,1.6601569,0.28281384039999996
1.95072238,1.6702663,0.2872937544
1.95305623,1.68019193,0.29197139920000004
1.95551019,1.69017144,0.29722029460000005
1.95738392,1.7001989,0.3018783584
1.95850362,1.71020105,0.3069655018
1.96067718,1.72019322,0.3119894198
1.96410264,1.73019179,0.3159974636
1.96762961,1.74018261,0.320854938
1.9697281,1.75015864,0.3254813344
1.96971279,1.76012971,0.330436025
1.97067996,1.77012319,0.3349896978
1.97252678,1.78012474,0.3401836548
1.97511526,1.79012174,0.3408998844
1.97658907,1.80016225,0.3450942402
1.97780215,1.81021141,0.3472083394
1.98196254,1.82018071,0.35514658540000005
1.98398054,1.83018851,0.3605163944
1.98602068,1.84021414,0.3663865324
1.98821394,1.8502403,0.3723082684
1.99228141,1.86022799,0.37716622060000005
1.9960447,1.87021517,0.3823275228
1.99583822,1.88020022,0.3877072992
